epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,113.402,0.67993,0.51265,0.90159,0.92581,0.98281,0.98323,0.84014,0.6249,0.43238,0.85933,0.000848969,0.000848969,0.000848969
43,116.301,0.67619,0.48651,0.92589,0.89759,0.97579,0.98854,0.85662,0.59829,0.45801,0.84986,0.000834822,0.000834822,0.000834822
44,119.185,0.65698,0.45277,0.91108,0.92832,0.95917,0.98854,0.84511,0.64733,0.47616,0.86519,0.000820675,0.000820675,0.000820675
45,121.876,0.68058,0.46545,0.90556,0.92832,0.95917,0.98854,0.84511,0.64733,0.47616,0.86519,0.000806528,0.000806528,0.000806528
46,124.6,0.67113,0.45737,0.89322,0.95537,0.9797,0.98801,0.84934,0.6216,0.43616,0.85626,0.00079238,0.00079238,0.00079238
47,127.373,0.61774,0.43605,0.8825,0.95918,0.99013,0.9879,0.85448,0.58511,0.39846,0.8434,0.000778233,0.000778233,0.000778233
48,130.13,0.63895,0.4614,0.901,0.95918,0.99013,0.9879,0.85448,0.58511,0.39846,0.8434,0.000764086,0.000764086,0.000764086
49,132.849,0.6489,0.45456,0.92166,0.96485,0.98602,0.99133,0.85913,0.57372,0.38197,0.84133,0.000749939,0.000749939,0.000749939
50,135.704,0.64747,0.44212,0.90222,0.9606,0.99148,0.98938,0.86128,0.56237,0.37891,0.83635,0.000735792,0.000735792,0.000735792
51,138.7,0.59429,0.41546,0.89798,0.9606,0.99148,0.98938,0.86128,0.56237,0.37891,0.83635,0.000721645,0.000721645,0.000721645
52,141.61,0.59316,0.40368,0.88714,0.96008,0.99053,0.98915,0.871,0.56604,0.3762,0.83535,0.000707498,0.000707498,0.000707498
53,144.584,0.60598,0.40393,0.89211,0.97681,0.99091,0.99056,0.88249,0.54482,0.35121,0.82765,0.000693351,0.000693351,0.000693351
54,147.479,0.59942,0.41982,0.87679,0.97681,0.99091,0.99056,0.88249,0.54482,0.35121,0.82765,0.000679204,0.000679204,0.000679204
55,150.298,0.59876,0.38947,0.88987,0.97357,0.99226,0.99193,0.88576,0.53147,0.34238,0.8214,0.000665057,0.000665057,0.000665057
56,153.244,0.59154,0.41432,0.88472,0.98381,0.98485,0.99282,0.88665,0.53279,0.32773,0.82293,0.000650909,0.000650909,0.000650909
57,156.119,0.59182,0.39256,0.89108,0.98381,0.98485,0.99282,0.88665,0.53279,0.32773,0.82293,0.000636762,0.000636762,0.000636762
58,158.935,0.57567,0.3982,0.87799,0.98499,0.98767,0.99328,0.88384,0.53145,0.33504,0.82294,0.000622615,0.000622615,0.000622615
59,161.553,0.58557,0.40984,0.88555,0.9844,0.9911,0.99338,0.88294,0.52758,0.33482,0.82412,0.000608468,0.000608468,0.000608468
60,164.265,0.60641,0.39563,0.89908,0.9844,0.9911,0.99338,0.88294,0.52758,0.33482,0.82412,0.000594321,0.000594321,0.000594321
61,166.933,0.59624,0.40383,0.88032,0.97923,0.99226,0.99211,0.89059,0.50309,0.33284,0.81991,0.000580174,0.000580174,0.000580174
62,169.81,0.56927,0.38334,0.87635,0.97946,0.992,0.99241,0.88715,0.51961,0.32869,0.81877,0.000566027,0.000566027,0.000566027
63,172.418,0.55943,0.38958,0.87436,0.97946,0.992,0.99241,0.88715,0.51961,0.32869,0.81877,0.00055188,0.00055188,0.00055188
64,175.065,0.55061,0.36702,0.85933,0.98249,0.98752,0.99351,0.89342,0.50094,0.31683,0.81196,0.000537733,0.000537733,0.000537733
65,177.859,0.54757,0.38186,0.87306,0.98477,0.99133,0.99457,0.89946,0.49051,0.3102,0.80944,0.000523586,0.000523586,0.000523586
66,180.612,0.56682,0.37615,0.87489,0.98477,0.99133,0.99457,0.89946,0.49051,0.3102,0.80944,0.000509438,0.000509438,0.000509438
