epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58448,1.37544,3.93323,1.35635,0.39596,0.3821,0.33036,0.22108,1.02594,2.58113,1.08513,8.574e-05,8.574e-05,8.574e-05
2,8.08595,1.00343,2.00657,1.10279,0.62751,0.65578,0.64475,0.45554,0.90202,2.32094,1.03125,0.000183931,0.000183931,0.000183931
3,12.6668,0.9182,1.36787,1.02977,0.55797,0.76475,0.57392,0.38631,0.96144,6.61526,1.03738,0.000280141,0.000280141,0.000280141
4,16.7957,0.84105,1.09896,0.97022,0.42892,0.75745,0.50359,0.34165,1.05898,inf,1.33957,0.000374371,0.000374371,0.000374371
5,20.9573,0.88781,1.13513,1.00483,0.02414,0.45878,0.01949,0.01293,1.50327,inf,8.79188,0.00046662,0.00046662,0.00046662
6,25.1066,0.83478,1.15164,1.00344,0.00692,0.21005,0.00456,0.00251,2.12818,inf,12.5716,0.000556888,0.000556888,0.000556888
7,29.2515,0.8949,1.11301,1.02212,0.04532,0.14288,0.02257,0.01477,2.33139,inf,8.52067,0.000645176,0.000645176,0.000645176
8,33.3395,0.8619,1.07634,1.01728,0.51429,0.73503,0.5167,0.37318,1.08573,22.6866,1.71258,0.000731484,0.000731484,0.000731484
9,37.4845,0.90132,1.33654,1.08893,0.55574,0.5528,0.44509,0.32306,1.13204,10.3599,1.71137,0.00081581,0.00081581,0.00081581
10,41.6126,0.86084,1.22135,1.05249,0.48331,0.67111,0.57116,0.40535,1.01259,4.53615,1.26282,0.000898157,0.000898157,0.000898157
11,45.7234,0.93854,1.00085,1.08478,0.12854,0.32252,0.11716,0.09126,0.99223,inf,1.20199,0.000978522,0.000978522,0.000978522
12,49.8182,0.92508,1.05909,1.06564,0.14139,0.63264,0.14901,0.10238,1.09699,7.21045,1.42264,0.00105691,0.00105691,0.00105691
13,53.9004,0.92457,1.08142,1.07419,0.14139,0.63264,0.14901,0.10238,1.09699,7.21045,1.42264,0.00113331,0.00113331,0.00113331
14,58.0732,0.9186,0.96733,1.04266,0.00488,0.04809,0.00247,0.00167,3.35456,inf,43.8652,0.00120774,0.00120774,0.00120774
15,62.165,0.96546,0.98675,1.0622,0.05225,0.31552,0.02801,0.02121,2.00673,inf,5.11547,0.00123094,0.00123094,0.00123094
16,66.246,0.82835,0.91447,1.05348,0.05225,0.31552,0.02801,0.02121,2.00673,inf,5.11547,0.00121679,0.00121679,0.00121679
17,70.3121,0.86859,0.90525,1.04303,0.10157,0.68656,0.13796,0.09572,1.14892,12.4711,1.32315,0.00120265,0.00120265,0.00120265
18,74.3755,0.93689,0.93244,1.04602,0.10157,0.68656,0.13796,0.09572,1.14892,12.4711,1.32315,0.0011885,0.0011885,0.0011885
19,78.4953,0.95136,0.98383,1.06254,0.27449,0.6906,0.34512,0.23839,0.99211,9.85716,1.21049,0.00117435,0.00117435,0.00117435
20,82.6024,0.94121,0.93105,1.05261,0.5892,0.81628,0.61144,0.43525,0.98281,3.30839,1.14337,0.00116021,0.00116021,0.00116021
21,86.6915,0.95773,0.87489,1.04197,0.5892,0.81628,0.61144,0.43525,0.98281,3.30839,1.14337,0.00114606,0.00114606,0.00114606
22,90.7576,0.85742,0.83613,1.00351,0.60523,0.84263,0.74331,0.54799,0.88199,4.19107,1.06587,0.00113191,0.00113191,0.00113191
23,95.1581,0.87759,0.7807,1.01042,0.43927,0.71029,0.54129,0.3813,0.95041,3.17144,1.14318,0.00111776,0.00111776,0.00111776
24,99.1943,0.89827,0.79009,1.01739,0.43927,0.71029,0.54129,0.3813,0.95041,3.17144,1.14318,0.00110362,0.00110362,0.00110362
25,103.296,0.86042,0.7281,1.00972,0.58656,0.81516,0.64712,0.45989,0.97553,2.45271,1.16881,0.00108947,0.00108947,0.00108947
26,107.346,0.85026,0.71921,1.01695,0.71706,0.80256,0.82017,0.61714,0.84885,1.35108,1.00557,0.00107532,0.00107532,0.00107532
27,111.727,0.8094,0.67879,1.01658,0.71706,0.80256,0.82017,0.61714,0.84885,1.35108,1.00557,0.00106118,0.00106118,0.00106118
28,116.166,0.81854,0.72933,1.0256,0.77831,0.84885,0.90464,0.71704,0.77862,0.9309,0.96996,0.00104703,0.00104703,0.00104703
29,120.494,0.78484,0.67575,0.98932,0.77831,0.84885,0.90464,0.71704,0.77862,0.9309,0.96996,0.00103288,0.00103288,0.00103288
30,124.908,0.75036,0.63543,0.98301,0.7771,0.80914,0.80952,0.64217,0.7764,1.19368,0.97526,0.00101873,0.00101873,0.00101873
31,128.928,0.77618,0.62557,0.96527,0.83502,0.88376,0.9206,0.74036,0.75421,0.8093,0.95856,0.00100459,0.00100459,0.00100459
32,133.354,0.77885,0.61905,0.97557,0.83502,0.88376,0.9206,0.74036,0.75421,0.8093,0.95856,0.00099044,0.00099044,0.00099044
33,137.745,0.75942,0.61677,1.01693,0.8858,0.94894,0.96647,0.78639,0.75287,0.63245,0.96073,0.000976293,0.000976293,0.000976293
34,142.053,0.79975,0.58902,0.96727,0.90363,0.976,0.97467,0.8054,0.73934,0.58246,0.96712,0.000962146,0.000962146,0.000962146
35,146.417,0.78068,0.6059,0.99867,0.90363,0.976,0.97467,0.8054,0.73934,0.58246,0.96712,0.000947999,0.000947999,0.000947999
36,150.867,0.72784,0.53848,0.9786,0.90009,0.97071,0.97767,0.8193,0.68378,0.55506,0.94338,0.000933851,0.000933851,0.000933851
37,155.443,0.698,0.56766,0.97069,0.91485,0.93324,0.96894,0.81031,0.69377,0.5114,0.93338,0.000919704,0.000919704,0.000919704
38,159.58,0.73665,0.54105,0.97642,0.91485,0.93324,0.96894,0.81031,0.69377,0.5114,0.93338,0.000905557,0.000905557,0.000905557
39,163.704,0.74734,0.53113,0.93385,0.88999,0.94136,0.96876,0.793,0.71587,0.53248,0.94947,0.00089141,0.00089141,0.00089141
40,167.827,0.7436,0.52829,0.96038,0.88999,0.94136,0.96876,0.793,0.71587,0.53248,0.94947,0.000877263,0.000877263,0.000877263
41,171.886,0.74834,0.53999,0.98398,0.92507,0.96989,0.98273,0.81543,0.68532,0.48029,0.93589,0.000863116,0.000863116,0.000863116
42,175.974,0.73587,0.54276,0.95753,0.9001,0.94467,0.95153,0.8098,0.67791,0.52125,0.92774,0.000848969,0.000848969,0.000848969
43,179.996,0.696,0.53625,0.93127,0.9001,0.94467,0.95153,0.8098,0.67791,0.52125,0.92774,0.000834822,0.000834822,0.000834822
44,184.046,0.70975,0.49936,0.94667,0.90764,0.95063,0.95845,0.82116,0.64315,0.5259,0.9124,0.000820675,0.000820675,0.000820675
45,188.172,0.7049,0.53937,0.97315,0.9611,0.95563,0.98517,0.82903,0.6657,0.45269,0.92368,0.000806528,0.000806528,0.000806528
46,192.628,0.69555,0.50992,0.94873,0.9611,0.95563,0.98517,0.82903,0.6657,0.45269,0.92368,0.00079238,0.00079238,0.00079238
47,197.162,0.67578,0.49015,0.93081,0.95081,0.96098,0.98837,0.8424,0.64277,0.43855,0.90875,0.000778233,0.000778233,0.000778233
48,201.864,0.65527,0.50341,0.92964,0.95237,0.97785,0.98919,0.85049,0.63124,0.42789,0.90273,0.000764086,0.000764086,0.000764086
49,206.434,0.67146,0.49049,0.92684,0.95237,0.97785,0.98919,0.85049,0.63124,0.42789,0.90273,0.000749939,0.000749939,0.000749939
50,210.941,0.68045,0.48492,0.94006,0.94731,0.97749,0.98974,0.84548,0.63814,0.44328,0.90849,0.000735792,0.000735792,0.000735792
51,214.998,0.643,0.46766,0.9333,0.94731,0.97749,0.98974,0.84548,0.63814,0.44328,0.90849,0.000721645,0.000721645,0.000721645
52,219.149,0.64753,0.4751,0.93144,0.96233,0.97026,0.99122,0.85129,0.62874,0.41734,0.90909,0.000707498,0.000707498,0.000707498
53,223.747,0.67724,0.46945,0.94477,0.96314,0.96472,0.98824,0.85244,0.61207,0.41214,0.89628,0.000693351,0.000693351,0.000693351
