epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,228.395,0.67793,0.46608,0.931,0.96314,0.96472,0.98824,0.85244,0.61207,0.41214,0.89628,0.000679204,0.000679204,0.000679204
55,232.976,0.66123,0.48384,0.93957,0.93384,0.98288,0.97939,0.84747,0.62275,0.43006,0.89648,0.000665057,0.000665057,0.000665057
56,237.304,0.65719,0.46149,0.93314,0.91779,0.97399,0.98375,0.84792,0.62474,0.42505,0.89539,0.000650909,0.000650909,0.000650909
57,241.337,0.68084,0.46207,0.94327,0.91779,0.97399,0.98375,0.84792,0.62474,0.42505,0.89539,0.000636762,0.000636762,0.000636762
58,245.427,0.59899,0.4442,0.92026,0.94056,0.98252,0.98648,0.86387,0.59004,0.3904,0.88515,0.000622615,0.000622615,0.000622615
59,249.835,0.6217,0.44779,0.91284,0.96159,0.98783,0.99166,0.8712,0.57952,0.37039,0.87787,0.000608468,0.000608468,0.000608468
60,254.205,0.63509,0.41883,0.93479,0.96159,0.98783,0.99166,0.8712,0.57952,0.37039,0.87787,0.000594321,0.000594321,0.000594321
61,258.571,0.59877,0.42561,0.91618,0.96589,0.98839,0.99333,0.86694,0.5844,0.36935,0.88545,0.000580174,0.000580174,0.000580174
62,262.617,0.61837,0.41951,0.91222,0.96589,0.98839,0.99333,0.86694,0.5844,0.36935,0.88545,0.000566027,0.000566027,0.000566027
63,266.676,0.62559,0.44136,0.93943,0.96904,0.99217,0.99339,0.87352,0.58137,0.35927,0.88655,0.00055188,0.00055188,0.00055188
64,271.08,0.62814,0.42491,0.92612,0.96971,0.98762,0.99355,0.87565,0.56782,0.36504,0.87297,0.000537733,0.000537733,0.000537733
65,275.494,0.61544,0.43071,0.90607,0.96971,0.98762,0.99355,0.87565,0.56782,0.36504,0.87297,0.000523586,0.000523586,0.000523586
66,279.891,0.56382,0.39418,0.91062,0.97259,0.98188,0.99369,0.87827,0.56475,0.36598,0.86928,0.000509438,0.000509438,0.000509438
67,284.391,0.56193,0.39336,0.88659,0.97148,0.99207,0.99382,0.86714,0.58769,0.3646,0.87839,0.000495291,0.000495291,0.000495291
68,288.403,0.57569,0.39487,0.92041,0.97148,0.99207,0.99382,0.86714,0.58769,0.3646,0.87839,0.000481144,0.000481144,0.000481144
69,292.46,0.6073,0.41483,0.92186,0.97495,0.9916,0.99372,0.87968,0.55456,0.34867,0.86543,0.000466997,0.000466997,0.000466997
70,296.873,0.57441,0.41427,0.90447,0.97239,0.98925,0.99352,0.8881,0.54587,0.34358,0.86028,0.00045285,0.00045285,0.00045285
71,301.181,0.58913,0.41341,0.91455,0.97239,0.98925,0.99352,0.8881,0.54587,0.34358,0.86028,0.000438703,0.000438703,0.000438703
72,305.559,0.57818,0.3832,0.8867,0.98144,0.98804,0.99366,0.88932,0.53642,0.34586,0.85482,0.000424556,0.000424556,0.000424556
73,309.836,0.5754,0.41324,0.90251,0.98144,0.98804,0.99366,0.88932,0.53642,0.34586,0.85482,0.000410409,0.000410409,0.000410409
74,314.243,0.5813,0.38105,0.88982,0.9775,0.98557,0.99369,0.88277,0.54286,0.34854,0.85784,0.000396262,0.000396262,0.000396262
75,318.259,0.59896,0.40808,0.92034,0.97984,0.98596,0.99366,0.88636,0.52668,0.34365,0.8567,0.000382115,0.000382115,0.000382115
76,322.256,0.53992,0.36426,0.8788,0.97984,0.98596,0.99366,0.88636,0.52668,0.34365,0.8567,0.000367967,0.000367967,0.000367967
77,326.282,0.577,0.39207,0.92173,0.97887,0.98571,0.99314,0.88792,0.51946,0.33928,0.84907,0.00035382,0.00035382,0.00035382
78,330.298,0.57082,0.38661,0.89898,0.97287,0.99199,0.99312,0.89637,0.52127,0.33467,0.8497,0.000339673,0.000339673,0.000339673
79,334.678,0.55519,0.37324,0.88517,0.97287,0.99199,0.99312,0.89637,0.52127,0.33467,0.8497,0.000325526,0.000325526,0.000325526
80,339.02,0.55276,0.38865,0.89602,0.97521,0.99298,0.99307,0.89467,0.52261,0.32906,0.85074,0.000311379,0.000311379,0.000311379
81,343.054,0.55417,0.36734,0.91362,0.97956,0.98923,0.99334,0.89953,0.51023,0.31923,0.84811,0.000297232,0.000297232,0.000297232
82,347.431,0.54152,0.38821,0.9018,0.97956,0.98923,0.99334,0.89953,0.51023,0.31923,0.84811,0.000283085,0.000283085,0.000283085
83,351.792,0.53761,0.36938,0.88567,0.97774,0.99014,0.99336,0.89965,0.49005,0.31498,0.84178,0.000268938,0.000268938,0.000268938
84,356.066,0.55032,0.36366,0.90259,0.97774,0.99014,0.99336,0.89965,0.49005,0.31498,0.84178,0.000254791,0.000254791,0.000254791
85,360.508,0.52416,0.37375,0.87986,0.97903,0.99119,0.99327,0.89832,0.48977,0.3107,0.84021,0.000240644,0.000240644,0.000240644
86,364.58,0.52333,0.36564,0.88346,0.97796,0.99575,0.9934,0.89866,0.50308,0.30855,0.84231,0.000226497,0.000226497,0.000226497
87,368.598,0.55011,0.39088,0.90554,0.97796,0.99575,0.9934,0.89866,0.50308,0.30855,0.84231,0.000212349,0.000212349,0.000212349
88,372.59,0.52908,0.35718,0.8754,0.98079,0.99542,0.9936,0.8977,0.50555,0.30376,0.84395,0.000198202,0.000198202,0.000198202
89,376.614,0.52443,0.35891,0.87689,0.98408,0.99542,0.99392,0.90374,0.48591,0.29416,0.84087,0.000184055,0.000184055,0.000184055
90,380.973,0.51232,0.3533,0.8771,0.98408,0.99542,0.99392,0.90374,0.48591,0.29416,0.84087,0.000169908,0.000169908,0.000169908
91,385.522,0.5114,0.3381,0.8767,0.98532,0.99521,0.994,0.90773,0.46805,0.28641,0.83675,0.000155761,0.000155761,0.000155761
92,389.937,0.49594,0.32487,0.86796,0.98566,0.99474,0.99405,0.91082,0.46211,0.28275,0.83391,0.000141614,0.000141614,0.000141614
93,394.287,0.49213,0.31824,0.85561,0.98566,0.99474,0.99405,0.91082,0.46211,0.28275,0.83391,0.000127467,0.000127467,0.000127467
94,398.654,0.5132,0.31938,0.85118,0.98669,0.99458,0.99415,0.91221,0.45458,0.27965,0.83148,0.00011332,0.00011332,0.00011332
95,402.956,0.50159,0.31478,0.85608,0.98669,0.99458,0.99415,0.91221,0.45458,0.27965,0.83148,9.91726e-05,9.91726e-05,9.91726e-05
96,407.301,0.4802,0.30351,0.85058,0.98701,0.99442,0.99423,0.91612,0.45484,0.27937,0.83028,8.50255e-05,8.50255e-05,8.50255e-05
97,411.684,0.483,0.30504,0.85652,0.98758,0.99416,0.99425,0.90946,0.46125,0.28042,0.83071,7.08784e-05,7.08784e-05,7.08784e-05
98,415.725,0.48104,0.30379,0.85834,0.98758,0.99416,0.99425,0.90946,0.46125,0.28042,0.83071,5.67313e-05,5.67313e-05,5.67313e-05
99,419.71,0.47943,0.30571,0.84701,0.98754,0.99399,0.99434,0.90954,0.4654,0.28171,0.83126,4.25842e-05,4.25842e-05,4.25842e-05
100,423.685,0.49228,0.29745,0.84622,0.98739,0.99382,0.99434,0.90839,0.46689,0.28137,0.83126,2.84371e-05,2.84371e-05,2.84371e-05
